DV;Bloc;N;Singular;model_type;beta_econ;se_econ;p_econ;beta_esp;se_esp;p_esp;OR;OR_CI_lo;OR_CI_hi;mcfadden;aic;bic;lr_p;brant_chi2;brant_p;po_ok;media_e0;media_e1;media_cf;delta_Y;p_econ_bonf;p_econ_holm;p_econ_bh;p_esp_bh;p_esp_holm;stars_econ;stars_econ_bh;stars_esp
corte_impostos;H3-Antimercado;146;True;firth_ridge;-0.4546;0.646;0.4816;1.101;0.2312;0.0;0.635;0.179;2.251;0.1851;197.02;223.87;0.0;;;;1.621212121212121;1.3571428571428572;;;1.0;1.0;0.9139901960784313;0.0;0.0;;;***
mulheres_força_trabalho;H3-Antimercado;146;False;ordered_logit;0.7726;0.8244;0.3487;-1.4359;0.2456;0.0;2.165;0.43;10.895;0.3009;193.8;220.66;0.0;6.125;0.9632;True;1.4393939393939394;1.7857142857142858;1.665114359406415;0.14;1.0;1.0;0.7877125;0.0;0.0;;;***
aumento_uso_tecnologia;H5-Antitrabalho;146;True;firth_ridge;1.9907;1.9315;0.3027;0.9554;0.4609;0.0382;7.32;0.166;322.596;0.2191;66.36;93.21;0.0594;;;;1.9393939393939394;2.0;;;1.0;1.0;0.7877125;0.05327894736842105;0.6112;;;*
acordos_comerciais_outros;H4-Antiestrangeiro;146;True;firth_ridge;-1.276;1.2716;0.3156;-0.5844;0.4634;0.2073;0.279;0.023;3.375;0.1536;80.52;107.38;0.1243;;;;1.9393939393939394;1.8571428571428572;;;1.0;1.0;0.7877125;0.24970227272727272;1.0;;;
redução_recente_postos;H5-Antitrabalho;145;False;ordered_logit;-1.3903;0.8254;0.0921;0.5034;0.1818;0.0056;0.249;0.049;1.255;0.0693;240.37;267.16;0.0204;3.864;0.9962;True;0.48854961832061067;0.14285714285714285;0.4228678440799089;-0.2975;1.0;1.0;0.48812999999999995;0.009275;0.1265;;;**
algumas_pessoas_dizem;H6-Pessimista;146;False;ordered_logit;-0.3488;0.5884;0.5533;0.5077;0.1619;0.0017;0.706;0.223;2.235;0.0416;307.77;334.62;0.0833;3.426;0.998;True;1.2954545454545454;1.1428571428571428;1.3068947399966466;-0.1336;1.0;1.0;0.9139901960784313;0.003003333333333333;0.040799999999999996;;;**
acha_acordos_comerciais;H4-Antiestrangeiro;145;False;ordered_logit;0.1958;0.8631;0.8205;-0.0971;0.2073;0.6396;1.216;0.224;6.603;0.0358;195.03;221.82;0.4738;2.851;0.9993;True;1.7196969696969697;1.7692307692307692;1.7461088952929842;0.0412;1.0;1.0;0.9139901960784313;0.6646823529411764;1.0;;;
quem_considera_maior;Percepção-Específica;146;False;ordered_logit;0.3543;0.5645;0.5302;-0.594;0.1613;0.0002;1.425;0.471;4.309;0.0549;319.27;346.12;0.0144;15.897;0.3197;True;0.9242424242424242;1.1428571428571428;0.9623285248707967;0.1483;1.0;1.0;0.9139901960784313;0.00048181818181818184;0.0068000000000000005;;;***
acha_preços_combustíveis;Percepção-Específica;146;True;firth_ridge;-0.1231;0.7771;0.8741;0.2303;0.2381;0.3334;0.884;0.193;4.055;0.1298;140.96;167.81;0.0105;;;;1.8409090909090908;1.7142857142857142;;;1.0;1.0;0.9139901960784313;0.37596170212765956;1.0;;;
acha_presidente_pode;Percepção-Específica;144;False;ordered_logit;0.5688;0.6481;0.3802;0.6943;0.1802;0.0001;1.766;0.496;6.291;0.1127;240.3;267.03;0.0002;3.477;0.9979;True;1.4809160305343512;1.5384615384615385;1.3665313972050313;0.1388;1.0;1.0;0.806024;0.00027894736842105266;0.0035;;;***
acha_novos_postos;H5-Antitrabalho;146;False;ordered_logit;-0.4184;0.6848;0.5412;1.034;0.2064;0.0;0.658;0.172;2.519;0.1373;223.91;250.76;0.0;3.956;0.9957;True;0.5454545454545454;0.35714285714285715;0.4526237810737956;-0.0951;1.0;1.0;0.9139901960784313;0.0;0.0;;;***
desigualdade_entre_ricos;H6-Pessimista;146;False;ordered_logit;-0.1848;0.5944;0.7559;-0.4427;0.1766;0.0122;0.831;0.259;2.665;0.0609;289.88;316.74;0.0138;1.543;1.0;True;1.3106060606060606;1.2142857142857142;1.2856559127720695;-0.0738;1.0;1.0;0.9139901960784313;0.018474285714285717;0.24;;;*
